local,site,transecto,spp.Name,spp.ID,N.pts.per.species,Cov..per.species,MFG
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,6,12,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sea urchin,65,1,2,Echinodermata
Baixo Silvia,Baixo Silvia 0,T1,Sinularia sp,66,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,8,16,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,6,12,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Alveopora allingi,7,14,28,Coral
Baixo Silvia,Baixo Silvia 0,T1,Coral ruble,16,2,4,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Didemnum spp,21,2,4,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,6,12,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,13,26,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,2,4,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,10,20,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,14,28,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,9,18,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,24,48,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,3,6,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,4,8,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,29,58,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,6,12,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,8,16,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Acropora cf apressa,2,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T1,Favites sp,26,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,4,8,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,3,6,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,20,40,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sea urchin,65,1,2,Echinodermata
Baixo Silvia,Baixo Silvia 0,T1,Sinularia sp,66,4,8,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,5,10,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,6,12,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,unidentified massive coral,77,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T1,ascidias nao identificadas,82,2,4,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Coral ruble,16,8,16,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,2,4,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,23,46,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,15,30,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,unidentified massive coral,77,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,7,14,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,21,42,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sarcophytum spp,63,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,4,8,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,16,32,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,Acropora cf apressa,2,6,12,Coral
Baixo Silvia,Baixo Silvia 0,T2,Coral ruble,16,4,8,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Holothuroidae,35,1,2,Echinodermata
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,10,20,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Octocoral branching,51,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,2,4,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,18,36,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,5,10,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,3,6,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,Acanthastrea sp,1,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,11,22,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,4,8,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,12,24,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,6,12,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,16,32,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,Favites sp,26,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,5,10,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,6,12,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,29,58,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sarcophytum spp,63,3,6,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,1,2,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,4,8,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,Cladiella kashmani,14,7,14,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,1,2,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,28,56,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,1,2,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,12,24,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,Acropora cf branchi,3,3,6,Coral
Baixo Silvia,Baixo Silvia 0,T2,Platygyra sp,55,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,2,4,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,3,6,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,3,6,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,18,36,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,19,38,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Acropora digitifera,5,4,8,Coral
Baixo Silvia,Baixo Silvia 0,T2,Coral ruble,16,3,6,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T2,Echinopora sp,23,3,6,Coral
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,13,26,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,3,6,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,5,10,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,3,6,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,3,6,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Stylophora pistillata,68,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,8,16,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,unidentified octocoral,85,3,6,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Acropora sp,6,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T2,Clavelina sp,15,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T2,Didemnum spp,21,4,8,Ascidian 
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,23,46,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Octocoral branching,51,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Pocillopora sp,58,3,6,Coral
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,2,4,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sea urchin,65,2,4,Echinodermata
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,2,4,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,6,12,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,1,2,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,unidentified octocoral,85,2,4,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Acanthastrea sp,1,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T2,Coral ruble,16,2,4,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,10,20,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Red algae,60,2,4,Red algea
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,25,50,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,6,12,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,1,2,Sponge
Baixo Silvia,Baixo Silvia 0,T2,ascidias nao identificadas,82,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T2,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Macroalgae,45,3,6,Macroalgae
Baixo Silvia,Baixo Silvia 0,T2,Sand,62,17,34,Substrate
Baixo Silvia,Baixo Silvia 0,T2,Sinularia sp,66,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T2,Sponge,67,24,48,Sponge
Baixo Silvia,Baixo Silvia 0,T2,Turf,74,1,2,Turf algae
Baixo Silvia,Baixo Silvia 0,T2,unidentified encrusting coral,76,3,6,Coral
Baixo Silvia,Baixo Silvia 0,T2,Palythoa,83,1,2,Other invertebrates
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,5,10,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,7,14,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Octocoral branching,51,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,13,26,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,12,24,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,2,4,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Stylophora pistillata,68,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,5,10,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,ascidias nao identificadas,82,3,6,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,6,12,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,3,6,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Porites sp,59,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,7,14,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,1,2,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,9,18,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,21,42,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,unidentified encrusting coral,76,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Acropora cf apressa,2,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Acropora digitifera,5,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T3,Coral ruble,16,2,4,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,6,12,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Favites sp,26,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,13,26,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Platygyra sp,55,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Pocillopora sp,58,4,8,Coral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,5,10,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,7,14,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,6,12,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,8,16,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,3,6,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Octocoral branching,51,2,4,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Platygyra sp,55,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,4,8,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,1,2,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,11,22,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,14,28,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,unidentified massive coral,77,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,unidentified octocoral,85,4,8,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Acropora digitifera,5,3,6,Coral
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,13,26,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,5,10,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,11,22,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,6,12,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,12,24,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,Acropora sp,6,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,6,12,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,17,34,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Octocoral branching,51,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Platygyra sp,55,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,8,16,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,6,12,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,4,8,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,unidentified branching coral,75,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,unidentified octocoral,85,4,8,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Dendronephyta sp,20,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,14,28,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Porites sp,59,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,2,4,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,14,28,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,11,22,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,7,14,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,Acropora digitifera,5,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,4,8,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,21,42,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Platygyra sp,55,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,1,2,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,5,10,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,11,22,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,ascidias nao identificadas,82,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,unidentified octocoral,85,3,6,Octocoral
Baixo Silvia,Baixo Silvia 0,T3,Didemnum spp,21,4,8,Ascidian 
Baixo Silvia,Baixo Silvia 0,T3,Echinopora sp,23,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Macroalgae,45,10,20,Macroalgae
Baixo Silvia,Baixo Silvia 0,T3,Pocillopora sp,58,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Porites sp,59,1,2,Coral
Baixo Silvia,Baixo Silvia 0,T3,Red algae,60,7,14,Red algea
Baixo Silvia,Baixo Silvia 0,T3,Sand,62,8,16,Substrate
Baixo Silvia,Baixo Silvia 0,T3,Sea star,64,1,2,Echinodermata
Baixo Silvia,Baixo Silvia 0,T3,Sea urchin,65,2,4,Echinodermata
Baixo Silvia,Baixo Silvia 0,T3,Sponge,67,5,10,Sponge
Baixo Silvia,Baixo Silvia 0,T3,Turf,74,3,6,Turf algae
Baixo Silvia,Baixo Silvia 0,T3,unidentified octocoral,85,7,14,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Acropora sp,6,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Cladiella kashmani,14,1,2,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Echinopora sp,23,5,10,Coral
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,8,16,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sinularia sp,66,9,18,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,11,22,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Turf,74,14,28,Turf algae
Baixo Silvia,Baixo Silvia sul,T1,Coscinaraea sp,17,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Dendronephyta sp,20,4,8,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Didemnum spp,21,11,22,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,7,14,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,3,6,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sinularia sp,66,5,10,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,12,24,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Stylophora pistillata,68,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Turf,74,6,12,Turf algae
Baixo Silvia,Baixo Silvia sul,T1,Acropora cf branchi,3,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Favites sp,26,5,10,Coral
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,12,24,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,1,2,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sinularia sp,66,3,6,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,5,10,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Turf,74,16,32,Turf algae
Baixo Silvia,Baixo Silvia sul,T1,unidentified encrusting coral,76,2,4,Coral
Baixo Silvia,Baixo Silvia sul,T1,unidentified massive coral,77,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,ascidias nao identificadas,82,2,4,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Acanthastrea sp,1,3,6,Coral
Baixo Silvia,Baixo Silvia sul,T1,Acropora cf branchi,3,2,4,Coral
Baixo Silvia,Baixo Silvia sul,T1,Cladiella kashmani,14,4,8,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Dendronephyta sp,20,1,2,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,3,6,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,11,22,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,18,36,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Turf,74,6,12,Turf algae
Baixo Silvia,Baixo Silvia sul,T1,unidentified massive coral,77,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,ascidias nao identificadas,82,1,2,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Acanthastrea sp,1,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Cladiella kashmani,14,4,8,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Coscinaraea sp,17,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,8,16,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,2,4,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,23,46,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sinularia sp,66,2,4,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,8,16,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Acropora sp,6,6,12,Coral
Baixo Silvia,Baixo Silvia sul,T1,Astrea rotulosa,11,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Horastrea indica,36,1,2,Coral
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,6,12,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,2,4,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,23,46,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,9,18,Sponge
Baixo Silvia,Baixo Silvia sul,T1,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Bleached coral,13,1,2,Dead coral
Baixo Silvia,Baixo Silvia sul,T1,Didemnum spp,21,3,6,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,1,2,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,11,22,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,30,60,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sinularia sp,66,2,4,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,2,4,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,4,8,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,13,26,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,23,46,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sarcophytum spp,63,2,4,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,8,16,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,5,10,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,29,58,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sarcophytum spp,63,1,2,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,4,8,Sponge
Baixo Silvia,Baixo Silvia sul,T1,Turf,74,8,16,Turf algae
Baixo Silvia,Baixo Silvia sul,T1,unidentified solitary coral,79,2,4,Coral
Baixo Silvia,Baixo Silvia sul,T1,Acropora sp,6,4,8,Coral
Baixo Silvia,Baixo Silvia sul,T1,Macroalgae,45,12,24,Macroalgae
Baixo Silvia,Baixo Silvia sul,T1,Pocillopora sp,58,3,6,Coral
Baixo Silvia,Baixo Silvia sul,T1,Red algae,60,5,10,Red algea
Baixo Silvia,Baixo Silvia sul,T1,Sand,62,10,20,Substrate
Baixo Silvia,Baixo Silvia sul,T1,Sinularia sp,66,4,8,Octocoral
Baixo Silvia,Baixo Silvia sul,T1,Sponge,67,12,24,Sponge
Baixo Silvia,Baixo Silvia sul,T2,Coral ruble,16,7,14,Substrate
Baixo Silvia,Baixo Silvia sul,T2,Favia sp,25,2,4,Coral
